번호,공개번호,제목,쟁점_분야,관련_기준서,결정년도,ntt_id,atch_file_id,pdf_filename,beneish_score,tier
63,FSS/1912-24,매출채권 과대 및 재고자산 과소계상 등,수익 인식,舊기업회계기준서 제1018호,2018,51399,9637405aa716b7bba8e2050078b5b850,FSS1912_24.pdf,4,2
62,FSS/1912-23,자금대여를 통한 허위 매출계상,허위매출계상,"기업회계기준서 제1018호, 재무보고를 위한 개념체계",2018,51398,5554a5972549b1224eeded7dd10c8bcd,FSS1912_23.pdf,9,1
61,FSS/1912-22,수익인식 오류,수익인식 시기 변경,일반기업회계기준 제16장,2019,51397,e4cb605a53332e8780dee4d702b0ea29,FSS1912_22.pdf,7,1
60,FSS/1912-21,특수관계자 거래 주석 기재 누락,특수관계자 거래,기업회계기준서 제1024호,2018,51396,456bc339a49704aa474c4ce429ae2a78,FSS1912_21.pdf,2,3
59,FSS/1912-20,담보제공 자산 주석 미기재,주석 미기재,"기업회계기준서 제1016호, 제1107호",2019,51395,11da406c48d0d3bb018a2c3c21b0a249,FSS1912_20.pdf,2,3
58,FSS/1912-19,매각예정자산 손상차손 과소계상,매각예정자산 손상차손,"기업회계기준서 제1105호, 제1113호",2018,51394,3e225382727a7cb641599c8d93d89681,FSS1912_19.pdf,5,2
57,FSS/1912-18,이연법인세자산(이월결손금)과대계상,이연법인세 자산성,기업회계기준서 제1012호,2018,51393,6a7e6423d1da4163511281656ead1545,FSS1912_18.pdf,2,3
56,FSS/1912-17,선급금 과대계상,선급금,재무회계개념체계,2018,51392,43e7c8e0d773a105454b665803e31753,FSS1912_17.pdf,5,2
55,FSS/1912-16,매도가능증권 과대계상,매도가능증권,기업회계기준서 제1039호,2018,51391,d547e8a438d40c333b76e50d09839271,FSS1912_16.pdf,2,3
54,FSS/1912-15,종속기업의 전환우선주 발행관련 오류,종속기업의 전환우선주 발행관련 오류,"기업회계기준서 제1032호, 제1001호",2019,51390,91696eb7e3b02d51459a0301eeb5b2bd,FSS1912_15.pdf,3,3
53,FSS/1912-14,개발비 손상차손 미인식,개발비 손상,"기업회계기준서 제1038호, 제1036호",2019,51389,aa73be492aaa30d64946429925256acc,FSS1912_14.pdf,6,2
52,FSS/1912-13,개발비 과대계상 등,무형자산(개발비) 인식요건,"舊 기업회계기준서 제3호, 기업회계기준서 제1038호",2018,51388,a8d139e623d0be4017d21eebe8601ca6,FSS1912_13.pdf,6,2
51,FSS/1912-12,무형자산(개발비) 과대계상,무형자산,기업회계기준서 제1038호,2018,51387,62c4ac9cb1b5010d7eb9e3ac5bb2543c,FSS1912_12.pdf,6,2
50,FSS/1912-11,무형자산 과대계상,무형자산,기업회계기준서 제1038호,2019,51386,4307e70167b86501a06809e681b32c41,FSS1912_11.pdf,6,2
49,FSS/1912-10,종속회사 매출채권에 대한 대손충당금 과소계상,매출채권 대손충당금,기업회계기준서 제1039호,2019,51385,30879c8eb22442b76353d91d27839544,FSS1912_10.pdf,7,1
48,FSS/1912-9,미수금 및 재고자산에 대한 충당금 미계상 등,충당금 인식,"기업회계기준서 제1002호, 舊 기업회계기준서 제1039호",2019,51384,2ac593c20397d2d143563398a7929571,FSS1912_9.pdf,4,2
47,FSS/1912-8,대여금에 대한 대손충당금 과소계상,소송채권,기업회계기준서 제1039호,2018,51383,579a3e5ed823d6e5d889624a22cde908,FSS1912_8.pdf,2,3
46,FSS/1912-7,지분법투자손실 과소계상,지분법 회계처리,기업회계기준서 제1028호,2019,51382,003298b732b40cc619b60cbd0da9b253,FSS1912_7.pdf,2,3
45,FSS/1912-6,종속기업투자주식 과대계상,종속기업투자주식 손상차손,기업회계기준서 제1036호,2018,51381,9da85c420bea8bc2e4993ce19ab26316,FSS1912_6.pdf,6,2
44,FSS/1912-5,종속기업투자주식 과대계상,종속기업투자주식,기업회계기준서 제1036호,2018,51380,8571dca2291219dc470696272bab01ed,FSS1912_5.pdf,4,2
43,FSS/1912-4,관계기업투자주식 과대계상,관계기업투자주식,"기업회계기준서 제1001호, 제1028호",2018,51379,93e3a73d833c0c4954a48a79904b319a,FSS1912_4.pdf,3,3
42,FSS/1912-3,재고자산 과대계상,재고자산,기업회계기준서 제1002호,2019,51378,6b48c0235007b543c36013821672eeeb,FSS1912_3.pdf,8,1
41,FSS/1912-2,재고자산평가충당금 과소계상,재고자산평가충당금,기업회계기준서 제1002호,2019,51377,c5c977711866214a2782938ac33a4a98,FSS1912_2.pdf,8,1
40,FSS/1912-1,재고자산평가손실 과소계상,재고자산평가손실,기업회계기준서 제1002호,2018,51376,c6ac878abb091c427dec6123430d9d95,FSS1912_1.pdf,8,1
39,,2018년도~2019년도 주요 감리지적 사례 및 유의사항,,,,51375,a2a3d767a3905b9dd34333d11799c2bc,,0,3
38,,2018년 주요 감리지적사례,,,,51374,b33c0396e6dc724559a6e5da7196ab78,,0,3
37,,2017년 주요 감리지적사례,,,,51373,4ed56429c3ae010aeadbadbe4b19a14c,,0,3
36,,2016년 주요 감리지적사례,,,,51372,a33dab20107210dd6b9d87b45c3ae1ea,,0,3
35,,2015년 주요 감리지적사례,,,,51371,600d100d8337914309c2179c84a37a06,,0,3
34,,2014년 감리지적사례,,,,51370,327281549c820ed01d523de783274708,,0,3
33,,감리지적사례(2014-1),,,,51369,2b156626b706c71b192a9db77b03e390,,0,3
32,,감리지적사례(2013-1),,,,51368,59068d8c40c4847451d3cb6d1e2bd5d3,,0,3
31,,2013년 감리지적사례,,,,51367,31d166ddc8219a88e9e38b69a0015670,,0,3
30,,2012년 감리지적사례,,,,51366,336e755104ee463318e34dbc95cba24d,,0,3
29,,2011년 감리지적사례,,,,51365,597b52161561d6cd8b41036d193aa9d3,,0,3
28,,2010년 감리지적사례,,,,51364,2056c71e5b0d3da6b2985a59010046d0,,0,3
27,,2009년 감리지적사례,,,,51363,3c4e7e83c02d59029666e0074a70b095,,0,3
26,,연결감리 지적사례,,,,51362,437d4eebc94895c216810db29d146b91,,0,3
25,,독립성 위반사항,,,,51361,57bd3445c2186525870d6899b1231163,,0,3
24,,E 유형[기타 외부감사 방해 등 관련법규위반사항 관련],,,,51360,01a699b5cc69aea8da7b1326995a9741,,0,3
23,,D 유형[계정분류 오류],,,,51359,eaa0d61204b4487d70a7d7a86de4c352,,0,3
22,,C-6[기타 주석 미기재],,,,51358,35625d80d66da4e3d8e24dac6a9d95cd,,0,3
21,,C-5[투자유가증권 관련 주석],,,,51357,88ed73ac256982894802517b0de0c978,,0,3
20,,C-4[매출채권 할인 및 양도 주석],,,,51356,21d6e19806bb89a3eac1b10d9ee81bee,,0,3
19,,C-3[견질어음수표 및 미확인 어음수표 주석],,,,51355,30202c95b697e581ca8a1d6498be5419,,0,3
18,,C-2[지급보증 및 담보제공 주석],,,,51354,c579d89552ed3163c8c3b30963110c9b,,0,3
17,,C-1[특수관계자 등과의 거래내역 등 주석],,,,51353,535b22ecdc871834097a3de543d5ddcc,,0,3
16,,B-2[매출·매입 과대(소) 계상],,,,51352,211c5092690a6b9c7886cad23211ed3a,,0,3
15,,B-1[자산·부채 과대(소) 계상],,,,51351,5b2025c78317618c54bc04e5c700d80b,,0,3
14,,A-13[기타 손익 과대(소) 계상],,,,51350,e9a4a5d765e09e228277443b62bb57a7,,0,3
13,,A-12[금융비용자본화 금액 과대(소) 계상],,,,51349,745729678a0d5c750240d6e632b38a13,,0,3
12,,A-11[유가증권 및 투자유가증권 평가관련],,,,51348,4c449a53a93310e6ea51ac7c15d69c5c,,0,3
11,,A-10[자산평가손실 및 감액손실 과소계상],,,,51347,6b8918d48901d643bd7cb5d154c350e1,,0,3
10,,A-9[대손충당금 과소계상],,,,51346,7514e018974930c0a09249bb903844e5,,0,3
9,,A-8[퇴직급여충당금 과소계상],,,,51345,3cbd13acd1a4a0749055cd937b457191,,0,3
8,,A-7[미지급비용 등 부채 과소계상],,,,51344,dc100001da833a44a7cee2775a934607,,0,3
7,,A-6[차입금 등 부채누락],,,,51343,e374da1e96aac029e2761ea382255951,,0,3
6,,A-5[기타의 자산 과대계상],,,,51342,d02c6520294c24e176ed528a57e5d074,,0,3
5,,A-4[개발비 과대계상],,,,51341,9c444e966d0ac880ce1d881017390e50,,0,3
4,,A-3[고정자산 과대계상],,,,51340,b81253dc50bc77aa9389e8bd47504c07,,0,3
3,,"A-2[재고자산, 매출원가 과대(소) 계상]",,,,51337,2d2b08aba641dd133b970ee0aa155cee,,0,3
2,,"A-1[매출재권, 매출 과대(소) 계상]",,,,51339,8a2d240db0b1e11b051335cc5856deb2,,0,3
1,,유형의 구분,,,,51338,3160033c90630020154ad56d932569bd,,0,3
