번호,공개번호,제목,쟁점_분야,관련_기준서,결정년도,ntt_id,atch_file_id,pdf_filename,beneish_score,tier
176,FSS/2311-17,횡령손실 미인식 및 특수관계자 거래 주석 미기재,"횡령손실, 특수관계자 거래","기업회계기준서 제1001호, 제1024호",2022,131717,1fd7ba1bfb8a4f24838bdfc785eddf08,FSS2311_17.pdf,7,1
175,FSS/2311-16,특수관계자 거래 주석 미기재,특수관계자거래,기업회계기준서 제1024호,2022,131716,a8fb1a1df0984949924366d2f0c1d3e9,FSS2311_16.pdf,3,3
174,FSS/2311-15,매출채권에 대한 손실충당금 과소·과대계상,매출채권 손실충당금,기업회계기준서 제1109호,2022,131715,39e22bb7898e4743bf294153e588cf02,FSS2311_15.pdf,8,1
173,FSS/2311-14,기타채무(관광전수금) 과소계상,기타채무(관광전수금),"기업회계기준서 제1018호, 제1115호, 제1032호",2022,131714,b16a6acd794e4bbcb0d3adf556d57adb,FSS2311_14.pdf,5,2
172,FSS/2311-13,전환사채 유동성 분류 오류,"전환사채, 유동성 분류",기업회계기준서 제1001호,2022,131713,dccd49bcca1c412caacd8f2b0dbf32ea,FSS2311_13.pdf,3,3
171,FSS/2311-12,관계기업투자주식 관련 이연법인세부채 과소계상등,이연법인세,기업회계기준서 제1012호,2022,131712,71c858fa9f8941b6917e7e11d4a866f6,FSS2311_12.pdf,3,3
170,FSS/2311-11,종속기업투자주식 관련 이연법인세부채 미계상,이연법인세,기업회계기준서 제1012호,2022,131711,f01e790f69284d1ea0cafcc6694a5a3c,FSS2311_11.pdf,3,3
169,FSS/2311-10,유형자산 등 허위계상,"유형자산, 매출원가",일반기업회계기준 제10장,2022,131710,f8b34ca6994d47a29ac543b36a76e823,FSS2311_10.pdf,8,1
168,FSS/2311-09,재고자산 평가손실 과소계상,재고자산(평가충당금),기업회계기준서 제1002호,2022,131709,ac68a6b7b346450882b72494592de86a,FSS2311_09.pdf,9,1
167,FSS/2311-08,재고자산 평가손실 미계상,재고자산 평가손실,기업회계기준서 제1002호,2022,131708,135c2595cdff4946982e54f5d956e926,FSS2311_08.pdf,9,1
166,FSS/2311-07,기타포괄손익-공정가치 측정 금융자산 평가오류,기타포괄손익-공정가치 측정 금융자산,"기업회계기준서 제1109호, 제1113호",2022,131707,03143dd30f814fe2aea00bd0e3288ca2,FSS2311_07.pdf,4,2
165,FSS/2311-06,종속기업투자주식(영업권) 과대계상,종속기업투자주식(영업권),기업회계기준서 제1036호,2022,131706,d2dc874366aa4eee9e73e77bce7d2550,FSS2311_06.pdf,5,2
164,FSS/2311-05,종속기업투자주식 과대계상,종속기업투자주식,"舊기업회계기준서 제1039호, 기업회계기준서 제1036호",2022,131705,863d07100974467ca46183b53a52b982,FSS2311_05.pdf,5,2
163,FSS/2311-04,종속기업투자주식 과대계상,종속기업투자주식,기업회계기준서 제1036호,2022,131704,e36da76ae64840b4b79e92b89dfdaf6e,FSS2311_04.pdf,5,2
162,FSS/2311-03,유상사급 관련 매출액 과대계상,"매출 및 매출원가, 연결재무제표","기업회계기준서 제1115호, 제1001호, 제1110호",2022,131702,d31f8d38711f41d28a5990236e0750db,FSS2311_03.pdf,10,1
161,FSS/2311-02,매출 조기인식을 통한 매출액 과대계상,매출 및 매출원가,"舊기업회계기준서 제1018호, 기업회계기준서 제1115호",2022,131701,709f7feaa57347c5ad34be06b3f31e3e,FSS2311_02.pdf,10,1
160,FSS/2311-01,위탁가맹점 관련 매출액 과소계상,매출 및 판매관리비,일반기업회계기준 제16장(수익),2022,131699,59487f8f45b1425a907bb28858181785,FSS2311_01.pdf,8,1
159,FSS/2206-15,특수관계자거래 주석 미기재,특수관계자거래 주석기재,기업회계기준서 제1024호,2021,56116,f2fcd4a1cf3d4ff09df4dfca30229c2d,FSS2206-15.pdf,2,3
158,FSS/2206-14,종속회사 회계기준 위반사항을 연결재무제표에 반영,연결재무제표 작성,기업회계기준서 제1001호,2021,56115,96a6cba2c7074b67a174bf79562d42d5,FSS2206-14.pdf,2,3
157,FSS/2206-13,연결재무제표 작성범위 오류,연결재무제표 작성,기업회계기준서 제1111호,2021,56114,9912028313184d9d931a18d26416a762,FSS2206-13.pdf,2,3
156,FSS/2206-12,퇴직급여충당부채 과소계상,퇴직급여충당부채 과소계상,기업회계기준서 제1019호,2021,56113,936d536c37ac4c1b80a92542e4dbf143,FSS2206-12.pdf,4,2
155,FSS/2206-11,매출채권에 대한 대손충당금 과소계상,매출채권 대손충당금,일반기업회계기준 제6장,2021,56112,a0a54ae34a4f4b91913e6618f0eea535,FSS2206-11.pdf,7,1
